"LOC","File"
"81","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/AbstractTableDescriptor.java"
"54","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/ClusterTableDescriptor.java"
"47","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/ColumnDescriptor.java"
"49","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/ColumnsTableDescriptor.java"
"47","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/DatabasesTableDescriptor.java"
"48","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/IndexesTableDescriptor.java"
"134","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/InfoSchemaMetadataDictionary.java"
"46","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/PartitionKeysTableDescriptor.java"
"47","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/PartitionsTableDescriptor.java"
"45","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/SessionTableDescriptor.java"
"29","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/TableDescriptor.java"
"46","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/TableOptionsTableDescriptor.java"
"46","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/TableStatsTableDescriptor.java"
"49","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/TablesTableDescriptor.java"
"48","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/dictionary/TablespacesTableDescriptor.java"
"3074","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/AbstractDBStore.java"
"230","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/CatalogStore.java"
"99","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/DerbyStore.java"
"55","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/MariaDBStore.java"
"55","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/MySQLStore.java"
"55","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/OracleStore.java"
"55","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/PostgreSQLStore.java"
"721","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/XMLCatalogSchemaManager.java"
"97","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/object/BaseSchema.java"
"105","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/object/DatabaseObject.java"
"48","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/object/DatabaseObjectType.java"
"52","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/object/SQLObject.java"
"99","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/object/SchemaPatch.java"
"87","tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/object/StoreObject.java"
"447","tajo-cli/src/main/java/org/apache/tajo/cli/tools/TajoAdmin.java"
"228","tajo-cli/src/main/java/org/apache/tajo/cli/tools/TajoDump.java"
"151","tajo-cli/src/main/java/org/apache/tajo/cli/tools/TajoGetConf.java"
"203","tajo-cli/src/main/java/org/apache/tajo/cli/tools/TajoHAAdmin.java"
"51","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/CliClientParamsFactory.java"
"322","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/DefaultTajoCliOutputFormatter.java"
"25","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/InvalidStatementException.java"
"53","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/ParsedResult.java"
"388","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/SimpleParser.java"
"773","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/TajoCli.java"
"97","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/TajoCliOutputFormatter.java"
"41","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/TajoFileHistory.java"
"93","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/ConnectDatabaseCommand.java"
"65","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/CopyrightCommand.java"
"135","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/DescFunctionCommand.java"
"170","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/DescTableCommand.java"
"125","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/ExecExternalShellCommand.java"
"53","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/ExitCommand.java"
"58","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/HdfsCommand.java"
"151","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/HelpCommand.java"
"50","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/ListDatabaseCommand.java"
"144","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/SetCommand.java"
"58","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/TajoAdminCommand.java"
"113","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/TajoGetConfCommand.java"
"58","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/TajoHAAdminCommand.java"
"191","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/TajoShellCommand.java"
"64","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/UnsetCommand.java"
"49","tajo-cli/src/main/java/org/apache/tajo/cli/tsql/commands/VersionCommand.java"
"86","tajo-client-example/src/main/java/org/apache/tajo/client/v1/example/TableExample.java"
"71","tajo-client-example/src/main/java/org/apache/tajo/client/v2/example/TajoClientAsyncExample.java"
"66","tajo-client-example/src/main/java/org/apache/tajo/client/v2/example/TajoClientExample.java"
"165","tajo-client/src/main/java/org/apache/tajo/client/CatalogAdminClient.java"
